name,email,phone,address,date_of_birth,salary,department,hire_date,employee_id
Peter Cook,vrodriguez@example.net,750-485-6473,"8859 Erickson Heights
East Edward, MN 77857",1982-03-20,74426.0,IT,2016-07-13,878520
Brandon Knapp,christopher76@example.com,+1-413-554-2896x369,"60951 Brittany Trail Apt. 844
Jeromechester, NH 80437",1954-06-19,41372.0,Finance,2015-01-06,6031482
Robin Anderson,alexajones@example.org,893-712-7341,"0315 Duran Knoll
East Ashleyton, LA 90102",1950-08-03,47476.0,HR,2016-04-09,28073
William Gomez,hduke@example.com,837-860-1795,"12943 Mitchell Overpass
Carolynbury, WY 99949",1998-12-21,86378.0,Sales,2009-06-08,248328
Steven Rivera,angelajoseph@example.com,+1-628-861-2399x875,"340 Murray Ways
South Daniel, VA 07147",1996-05-28,30117.0,Finance,2006-09-20,3398
Debbie Lopez,schandler@example.org,345.994.2433,"37402 Brandy Rue
Colliermouth, OH 44059",1965-01-31,50802.0,Marketing,2008-04-06,530516079
Jennifer Johnson,walshmisty@example.com,453.434.4256,"231 Jones Landing
East Christinefurt, AS 09266",1992-07-29,67305.0,HR,2015-01-16,144878
Tyler Mcconnell,gharris@example.org,+1-794-858-6525x6301,"90473 Marc Route
Davisport, WI 41435",1962-03-01,59986.0,Sales,2017-02-27,25593057
Michael Smith,cody15@example.com,+1-991-590-1673,"5534 Rodriguez Route
West Regina, FM 31354",1954-08-18,45478.0,Finance,2018-05-30,490
Andrea Davis,thompsongina@example.org,+1-817-548-1027,"366 Johnson Stream Apt. 098
Sandovalburgh, CA 95837",1991-12-12,45598.0,Sales,2019-03-12,60037269
Kelli Jones,brittany48@example.org,535-456-0196x85925,"943 Goodman Street Apt. 172
Parkerbury, GA 84232",1977-11-18,95111.0,HR,2001-10-28,66431
Monica Murphy,vanessarodriguez@example.net,(645)307-3714,"876 Penny Harbor Apt. 441
Taylorland, NC 20885",1955-01-06,84584.0,IT,2019-01-04,59202
Shannon Wells,karenwilliams@example.com,(301)432-4562x847,"0886 Teresa Trace
Williamsport, NH 92845",2001-11-01,37259.0,Sales,2002-04-10,474575
Sherri Le,miranda61@example.com,242.788.1979x858,"4447 Pamela Plain
New Michelleton, IL 44098",1964-03-02,44845.0,Finance,2001-01-10,3368
Scott Beard,jroberts@example.org,(826)900-7225,"12490 Maria Overpass
Port Stephenfort, CT 11809",1970-10-20,72464.0,Finance,2015-01-03,786531693
Debbie Romero,samanthaolsen@example.org,(595)495-9285x95940,"74084 Michelle Plains
Thompsonmouth, RI 27220",1954-06-05,68400.0,Marketing,2004-07-12,31162
Elizabeth Santos,tolson@example.net,354.600.7364x70613,"7154 Mercer Village Apt. 950
Juliemouth, GA 47516",1976-03-09,60039.0,Marketing,2000-04-11,482
